order_id,order_datetime,restaurant_lat,restaurant_lon,customer_lat,customer_lon,num_items,order_value,day_of_week,hour,is_weekend,weather,traffic_level,distance_km,actual_delivery_time_minutes
ORD000001,2026-02-21 22:14:00,52.390799,4.913966,52.328883,4.852045,3,47.42,Saturday,22,True,sunny,low,8.05,43
ORD000002,2026-02-22 11:23:00,52.400844,4.875334,52.343573,4.818347,4,73.59,Sunday,11,True,sunny,low,7.44,42
ORD000003,2026-02-11 21:59:00,52.354236,4.899707,52.405568,4.845648,7,173.0,Wednesday,21,False,sunny,high,6.77,60
ORD000004,2026-03-14 16:17:00,52.412489,4.950663,52.468,4.915494,5,59.63,Saturday,16,True,sunny,medium,6.61,47
ORD000005,2026-01-08 12:13:00,52.356706,4.872324,52.402671,4.858852,6,103.76,Thursday,12,False,sunny,high,5.18,59
ORD000006,2026-02-03 19:35:00,52.37739,4.946287,52.303319,4.891564,1,24.34,Tuesday,19,False,rainy,high,9.02,66
ORD000007,2026-01-24 19:24:00,52.345693,4.90837,52.28106,4.962765,1,8.27,Saturday,19,True,sunny,medium,8.07,45
ORD000008,2026-03-04 20:50:00,52.388286,4.927001,52.437114,4.850329,7,133.48,Wednesday,20,False,snowy,high,7.51,79
ORD000009,2026-02-02 16:22:00,52.384484,4.920692,52.400918,4.880142,3,48.08,Monday,16,False,sunny,medium,3.3,35
ORD000010,2026-03-31 16:13:00,52.36698,4.906373,52.353937,4.820949,5,57.15,Tuesday,16,False,rainy,low,5.97,48
ORD000011,2026-01-04 14:22:00,52.378042,4.908084,52.324593,4.987798,7,90.48,Sunday,14,True,sunny,high,8.02,65
ORD000012,2026-02-26 14:05:00,52.363253,4.875944,52.348225,4.944934,2,20.15,Thursday,14,False,sunny,high,4.96,39
ORD000013,2026-01-27 18:51:00,52.352857,4.884578,52.292495,4.890714,6,70.65,Tuesday,18,False,sunny,medium,6.71,59
ORD000014,2026-02-01 17:40:00,52.357984,4.860589,52.313688,4.815027,7,115.17,Sunday,17,True,sunny,low,5.81,36
ORD000015,2026-01-02 11:27:00,52.322748,4.881965,52.396236,4.835086,2,34.05,Friday,11,False,sunny,medium,8.76,47
ORD000016,2026-02-24 20:55:00,52.341364,4.926922,52.317565,4.950737,6,88.68,Tuesday,20,False,rainy,high,3.1,53
ORD000017,2026-02-28 15:15:00,52.321678,4.913189,52.353639,4.826175,3,65.28,Saturday,15,True,sunny,low,6.89,43
ORD000018,2026-02-09 16:17:00,52.401371,4.921669,52.44371,4.869302,7,160.4,Monday,16,False,sunny,medium,5.89,52
ORD000019,2026-03-01 10:01:00,52.417225,4.950642,52.427718,5.019516,7,96.34,Sunday,10,True,sunny,medium,4.81,50
ORD000020,2026-01-24 15:55:00,52.406377,4.939193,52.484791,4.990554,4,71.49,Saturday,15,True,sunny,high,9.37,65
ORD000021,2026-01-18 11:01:00,52.38679,4.919296,52.337158,4.957488,1,16.4,Sunday,11,True,sunny,low,6.09,34
ORD000022,2026-03-08 10:32:00,52.371854,4.904981,52.396394,4.860065,6,147.25,Sunday,10,True,sunny,high,4.08,49
ORD000023,2026-01-21 10:27:00,52.384492,4.940517,52.335926,4.940372,4,33.65,Wednesday,10,False,rainy,low,5.39,49
ORD000024,2026-02-15 14:05:00,52.354616,4.855646,52.431713,4.842719,5,88.64,Sunday,14,True,snowy,low,8.6,59
ORD000025,2026-02-01 16:32:00,52.349292,4.871049,52.359516,4.949557,2,47.62,Sunday,16,True,sunny,low,5.44,34
ORD000026,2026-01-23 11:26:00,52.347129,4.886355,52.40989,4.820947,6,84.67,Friday,11,False,sunny,high,8.26,64
ORD000027,2026-01-25 17:12:00,52.325759,4.854618,52.34878,4.799588,6,129.17,Sunday,17,True,rainy,low,4.52,43
ORD000028,2026-03-07 16:21:00,52.350415,4.869604,52.437147,4.930612,2,17.04,Saturday,16,True,sunny,high,10.48,57
ORD000029,2026-03-01 14:32:00,52.400387,4.881254,52.484132,4.873562,6,53.27,Sunday,14,True,sunny,medium,9.31,58
ORD000030,2026-02-21 22:49:00,52.36923,4.886396,52.422364,4.845145,4,82.59,Saturday,22,True,sunny,low,6.53,33
ORD000031,2026-01-09 21:52:00,52.323419,4.945621,52.313043,4.898783,6,120.89,Friday,21,False,rainy,low,3.38,47
ORD000032,2026-03-05 14:21:00,52.390604,4.858872,52.402491,4.797428,6,49.47,Thursday,14,False,sunny,low,4.37,30
ORD000033,2026-03-03 13:04:00,52.365017,4.863883,52.363508,4.859108,1,15.9,Tuesday,13,False,rainy,low,0.36,33
ORD000034,2026-02-03 13:30:00,52.31913,4.947444,52.319318,4.954532,5,53.85,Tuesday,13,False,sunny,high,0.48,33
ORD000035,2026-02-01 20:19:00,52.375147,4.892917,52.400939,4.885403,3,65.85,Sunday,20,True,rainy,high,2.91,53
ORD000036,2026-02-12 21:28:00,52.324536,4.864178,52.237816,4.791178,3,41.16,Thursday,21,False,rainy,low,10.83,60
ORD000037,2026-02-03 12:40:00,52.367204,4.923389,52.339904,5.001986,4,60.42,Tuesday,12,False,snowy,high,6.13,68
ORD000038,2026-01-24 12:48:00,52.390765,4.866869,52.345768,4.881367,7,166.76,Saturday,12,True,rainy,high,5.09,69
ORD000039,2026-03-30 12:40:00,52.355373,4.907533,52.354754,4.887664,5,116.12,Monday,12,False,sunny,low,1.35,35
ORD000040,2026-03-17 18:06:00,52.41328,4.921777,52.410134,4.920522,5,47.79,Tuesday,18,False,rainy,high,0.36,43
ORD000041,2026-02-22 16:15:00,52.396562,4.863221,52.395557,4.783581,7,62.65,Sunday,16,True,rainy,medium,5.4,57
ORD000042,2026-03-17 18:09:00,52.401296,4.940787,52.462223,4.927483,2,29.49,Tuesday,18,False,rainy,medium,6.82,54
